
0,AMEDEO,TESSITORI,Centro,07/10/1994,207,97,ITA
1,NICCOLÒ,MANNION,Playmaker,15/03/2001,190,86,ITA
3,MARCO,BELINELLI,Guardia/Ala,25/03/1986,196,100,ITA
6,ALESSANDRO,PAJOLA,Playmaker,09/11/1999,194,95,ITA
7,AMAR,ALIBEGOVIC,Ala,31/03/1995,206,109,ITA
8,KEVIN JUWAN,HERVEY,Ala,09/07/1996,206,104,USA
9,EKPEDEME FRIDAY,UDOH,Centro,20/05/1987,208,0,USA
11,MICHELE,RUZZIER,Playmaker,09/02/1993,183,80,ITA
12,MATTIA,FERDEGHINI,Guardia/Ala,17/01/2003,194,0,ITA
14,MOUHAMMADOU,JAITEH,Centro,27/09/1994,211,112,FRA
15,TY-SHON,ALEXANDER,Guardia,16/07/1998,191,88,USA
17,MARCO,CERON,Guardia,16/06/1992,195,100,ITA
20,MATTEO,BARBIERI,Centro,27/05/2003,211,0,ITA
25,JAKARR,SAMPSON,Ala/Centro,20/03/1993,206,97,USA
34,KYLE,WEEMS,Ala,23/08/1989,198,0,USA
44,MILOS,TEODOSIC,Guardia,19/03/1987,195,89,SRB
55,ABASS,AWUDU ABASS,Ala,27/01/1993,198,0,ITA
00,ISAIA,CORDINIER,Guardia/Ala,28/11/1996,196,84,FRA
