1,CHRISTOPHER,MORTELLARO,Centro,25/03/1982,208,105,ITA
3,CHRIS,WRIGHT,Guardia,04/11/1989,185,91,USA
4,LEONARDO,ROTA,Guardia,17/05/2003,191,0,ITA
5,JALEN,CANNON,Ala/Centro,05/05/1993,198,109,USA
7,REMIGIO,BELLINASO,Ala,02/03/2005,0,0,ITA
8,RICCARDO,TAVERNELLI,Playmaker/Guardia,16/03/1991,190,0,ITA
9,MATEUS,VELLOSO SEMEGHINI,Ala/Centro,21/05/2003,0,0,ITA
10,PIETRO,LISINI,Ala,19/03/2005,0,0,ITA
12,ARIEL,FILLOY,Guardia,11/03/1987,190,85,ITA
14,BRUNO,MASCOLO,Guardia,04/08/1996,190,85,ITA
18,RICCARDO,CATTAPAN,Centro,05/07/1997,213,103,ITA
20,LUCA,SEVERINI,Ala,20/06/1996,204,95,ITA
22,JAMARR,SANDERS,Guardia/Ala,02/08/1988,193,95,USA
24,MIKE,DAUM,Ala,30/10/1995,206,107,USA
30,TYLER,CAIN,Centro,30/06/1988,105,107,USA
55,JP,MACURA,Guardia/Ala,05/06/1995,196,93,USA
