
1,DESONTA,BRADFORD,Guardia,12/04/1996,193,86,USA
3,JONATHAN,WILLIAMS,Centro,22/05/1995,205,103,USA
5,CAMERON,REYNOLDS,Ala,07/02/1995,201,102,USA
8,LUCA,CONTI,Guardia,20/12/2000,196,84,ITA
9,RICHARD YGOR,MORINA,Guardia,17/07/2004,185,0,ITA
10,TOTO,FORRAY,Playmaker,20/03/1986,188,85,ITA
11,LORENZO,ZANGHERI,Ala,26/05/2004,200,0,ITA
12,DIEGO,FLACCADORI,Playmaker,05/04/1996,193,85,ITA
13,WESLEY,SAUNDERS,Guardia,16/06/1993,196,88,USA
14,ANDREA,MEZZANOTTE,Ala,08/04/1998,207,89,ITA
20,LORENZO,DELL'ANNA,Guardia,11/05/2004,0,0,ITA
23,MAXIMILIAN,LADURNER,Centro,06/12/2001,207,95,ITA
24,JORDAN,CAROLINE,Ala,15/01/1996,201,107,USA
25,LUKA,RUDOVIC,Centro,21/02/2003,203,0,SVN
